Name,Abbreviation,League
Angels,LAA,AL
Orioles,BAL,AL
Red Sox,BOS,AL
White Sox,CHW,AL
Guardians,CLE,AL
Tigers,DET,AL
Royals,KCR,AL
Twins,MIN,AL
Yankees,NYY,AL
Athletics,OAK,AL
Mariners,SEA,AL
Rays,TBR,AL
Rangers,TEX,AL
Blue Jays,TOR,AL
Diamondbacks,ARI,NL
Braves,ATL,NL
Cubs,CHC,NL
Reds,CIN,NL
Rockies,COL,NL
Marlins,MIA,NL
Astros,HOU,AL
Dodgers,LAD,NL
Brewers,MIL,NL
Nationals,WSN,NL
Mets,NYM,NL
Phillies,PHI,NL
Pirates,PIT,NL
Cardinals,STL,NL
Padres,SDP,NL
Giants,SFG,NL
2TM,TOT,2LG
3TM,TOT,2LG
4TM,TOT,2LG
5TM,TOT,2LG
